csv_generic_name,matched_prod_sks,verified_rxcui_in,verified_rxcui_scd,verified_ndc,verified_ingredient_raw,verified_ingredient_normalized,verified_active_moiety_raw,verified_active_moiety_normalized,verified_route_raw,verified_route_normalized,verified_dose_form_raw,verified_dose_form_normalized,csv_strength_value,csv_strength_unit,normalized_strength_value,normalized_strength_unit,strength_normalization_status,verified_moa_classes_raw,verified_moa_classes_normalized,verified_moa_class_ids,moa_lookup_confidence,ingredient_count,is_combination_product,csv_therapeutic_class_raw,csv_therapeutic_class_normalized,lookup_confidence,lookup_timestamp,rxcui_in_verification_status
albuterol,1018,,745679,85113101,albuterol,albuterol,albuterol,albuterol,Respiratory (Inhalation),respiratory (inhalation),Respiratory Inhalant,inhalant,10,IU,,IU,unconvertible_unit,Bronchodilators;Short-Acting Beta-2 Agonists,bronchodilators;short-acting beta-2 agonists,N5341812039,needs_verification,1,FALSE,Beta-2 Agonist,beta-2 agonist,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
alendronate,1016,,904455,6028258,alendronate,alendronate,alendronate,alendronate,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Bone Resorption Inhibitors;Nitrogen-Containing Bisphosphonates,bone resorption inhibitors;nitrogen-containing bisphosphonates,N6155249701,needs_verification,1,FALSE,Bisphosphonate,bisphosphonate,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
allopurinol,1048,,197320,378016301,allopurinol,allopurinol,allopurinol,allopurinol,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Anti-Gout Agents;Xanthine Oxidase Inhibitors,anti-gout agents;xanthine oxidase inhibitors,N6386953561,needs_verification,1,FALSE,Xanthine Oxidase Inhibitor,xanthine oxidase inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
amlodipine,1002,,197361,69153041,amlodipine,amlodipine,amlodipine,amlodipine,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Calcium Channel Blockers;Dihydropyridine Calcium Channel Blockers,calcium channel blockers;dihydropyridine calcium channel blockers,N1549023511,needs_verification,1,FALSE,Calcium Channel Blocker,calcium channel blocker,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
amoxicillin,1035,,308191,781261801,amoxicillin,amoxicillin,amoxicillin,amoxicillin,Oral,oral,Oral Capsule,capsule,10,GM,10000,mg,converted,Antibiotics;Aminopenicillins,aminopenicillins;antibiotics,N6113780122,needs_verification,1,FALSE,Penicillin Antibiotic,penicillin antibiotic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
apixaban,1022,,1364445,59148001401,apixaban,apixaban,apixaban,apixaban,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Anticoagulants;Direct Factor Xa Inhibitors,anticoagulants;direct factor xa inhibitors,N5256752735,needs_verification,1,FALSE,Factor Xa Inhibitor,factor xa inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
aspirin,1025,,243670,280025150,aspirin,aspirin,aspirin,aspirin,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Antiplatelet Agents;Salicylate Antiplatelet Agents,antiplatelet agents;salicylate antiplatelet agents,N2557294748,needs_verification,1,FALSE,Antiplatelet,antiplatelet,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
atorvastatin,1004,83367,259255,71015820,atorvastatin,atorvastatin,atorvastatin,atorvastatin,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Statins;HMG-CoA Reductase Inhibitors,hmg-coa reductase inhibitors;statins,N5619132230,needs_verification,1,FALSE,Statin,statin,exact,2026-07-07T08:06:37.619625+00:00,verified_externally_2026-07-07
azithromycin,1036,,141962,69307120,azithromycin,azithromycin,azithromycin,azithromycin,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Antibiotics;Macrolides,antibiotics;macrolides,N1806405799,needs_verification,1,FALSE,Macrolide Antibiotic,macrolide antibiotic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
bupropion,1042,,,173017400,bupropion,bupropion,bupropion,bupropion,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Antidepressants;Norepinephrine-Dopamine Reuptake Inhibitors,antidepressants;norepinephrine-dopamine reuptake inhibitors,N6694914139,needs_verification,1,FALSE,NDRI,ndri,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
canagliflozin,1039,,,50458060010,canagliflozin,canagliflozin,canagliflozin,canagliflozin,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Antidiabetics;Sodium-Glucose Cotransporter-2 Inhibitors,antidiabetics;sodium-glucose cotransporter-2 inhibitors,N0993734238,needs_verification,1,FALSE,SGLT2 Inhibitor,sglt2 inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
carvedilol,1033,,,7479120,carvedilol,carvedilol,carvedilol,carvedilol,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Beta Blockers;Combined Alpha/Beta Adrenergic Blockers,beta blockers;combined alpha/beta adrenergic blockers,N5320022500,needs_verification,1,FALSE,Alpha-Beta Blocker,alpha-beta blocker,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
celecoxib,1028,,239981,25153531,celecoxib,celecoxib,celecoxib,celecoxib,Oral,oral,Oral Capsule,capsule,10,MEQ,,MEQ,unconvertible_unit,NSAIDs;Selective COX-2 Inhibitors,nsaids;selective cox-2 inhibitors,N6406923986,needs_verification,1,FALSE,COX-2 Inhibitor,cox-2 inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
clopidogrel,1024,,309362,78036315,clopidogrel,clopidogrel,clopidogrel,clopidogrel,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Antiplatelet Agents;P2Y12 Platelet Inhibitors,antiplatelet agents;p2y12 platelet inhibitors,N3530653465,needs_verification,1,FALSE,Antiplatelet,antiplatelet,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
colchicine,1049,,,64764010030,colchicine,colchicine,colchicine,colchicine,Oral,oral,Oral Tablet,tablet,10,ML,,ML,unconvertible_unit,Anti-Gout Agents;Anti-Inflammatory Antigout Agents,anti-gout agents;anti-inflammatory antigout agents,N3113074520,needs_verification,1,FALSE,Anti-Gout Agent,anti-gout agent,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
doxycycline,1037,,,641024625,doxycycline,doxycycline,doxycycline,doxycycline,Oral,oral,Oral Capsule,capsule,10,MEQ,,MEQ,unconvertible_unit,Antibiotics;Tetracyclines,antibiotics;tetracyclines,N6510479021,needs_verification,1,FALSE,Tetracycline Antibiotic,tetracycline antibiotic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
duloxetine,1015,,,2322230,duloxetine,duloxetine,duloxetine,duloxetine,Oral,oral,Oral Capsule,capsule,10,MCG,0.01,mg,converted,Antidepressants;Serotonin-Norepinephrine Reuptake Inhibitors,antidepressants;serotonin-norepinephrine reuptake inhibitors,N6384756566,needs_verification,1,FALSE,SNRI,snri,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
empagliflozin,1009,,1545653,597003010,empagliflozin,empagliflozin,empagliflozin,empagliflozin,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Antidiabetics;Sodium-Glucose Cotransporter-2 Inhibitors,antidiabetics;sodium-glucose cotransporter-2 inhibitors,N0993734238,needs_verification,1,FALSE,SGLT2 Inhibitor,sglt2 inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
escitalopram,1014,,351249,456213003,escitalopram,escitalopram,escitalopram,escitalopram,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Antidepressants;Selective Serotonin Reuptake Inhibitors,antidepressants;selective serotonin reuptake inhibitors,N1945807590,needs_verification,1,FALSE,SSRI,ssri,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
finasteride,1047,,310385,6046254,finasteride,finasteride,finasteride,finasteride,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Urologic Agents;5-Alpha Reductase Inhibitors,5-alpha reductase inhibitors;urologic agents,N7453459890,needs_verification,1,FALSE,5-Alpha Reductase Inhibitor,5-alpha reductase inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
fluticasone,1019,,,173071120,fluticasone,fluticasone,fluticasone,fluticasone,Respiratory (Inhalation),respiratory (inhalation),Respiratory Inhalant,inhalant,10,MCG,0.01,mg,converted,Corticosteroids;Inhaled Corticosteroids,corticosteroids;inhaled corticosteroids,N6074688311,needs_verification,1,FALSE,Corticosteroid,corticosteroid,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
furosemide,1031,,310429,116288001,furosemide,furosemide,furosemide,furosemide,Oral,oral,Oral Tablet,tablet,10,MG,10,mg,converted,Diuretics;Loop Diuretics,diuretics;loop diuretics,N6858507115,needs_verification,1,FALSE,Loop Diuretic,loop diuretic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
gabapentin,1026,,310431,781534105,gabapentin,gabapentin,gabapentin,gabapentin,Oral,oral,Oral Capsule,capsule,10,IU,,IU,unconvertible_unit,Anticonvulsants;Gabapentinoids (GABA Analogs),anticonvulsants;gabapentinoids (gaba analogs),N1749560268,needs_verification,1,FALSE,Anticonvulsant,anticonvulsant,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
glipizide,1007,,310490,49262066,glipizide,glipizide,glipizide,glipizide,Oral,oral,Oral Tablet,tablet,10,MEQ,,MEQ,unconvertible_unit,Antidiabetics;Second-Generation Sulfonylureas,antidiabetics;second-generation sulfonylureas,N3723367249,needs_verification,1,FALSE,Sulfonylurea,sulfonylurea,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
hydrochlorothiazide,1030,,310798,93084101,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Diuretics;Thiazide Diuretics,diuretics;thiazide diuretics,N4104018143,needs_verification,1,FALSE,Thiazide Diuretic,thiazide diuretic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
levothyroxine,1010,,,378181177,levothyroxine,levothyroxine,levothyroxine,levothyroxine,Oral,oral,Oral Tablet,tablet,10,MG,10,mg,converted,Thyroid Agents;Synthetic Levothyroxine Analogs,synthetic levothyroxine analogs;thyroid agents,N8179614031,needs_verification,1,FALSE,Thyroid Hormone,thyroid hormone,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
