PROD_SK,PROD_ID,PROD_NM,GNRC_NM,THRPC_CLASS_NM,DISE_CAT_NM,DRG_DOSAG_FRM_NM,NDC,GPI,DRG_DRG_INTRCTN_DESC,BASE_PRICE,BRAND_IND,CONTROLLED_SUB_FLG,NARROW_THRPTC_IDX_FLG,PROD_ACTV_FLG,PROD_EFF_DT,PROD_TERM_DT,GPI_NO,DRG_CLASS_NM,DRG_SUB_CLASS_NM,DRG_FDA_THRPC_EQVLC_CD,RXCUI
1001,PROD1001,Lisinopril 10mg,lisinopril,ACE Inhibitor,Hypertension,Tablet,71015623,2210001000,May cause hyperkalemia with potassium-sparing diuretics,12.5,N,N,N,Y,2020-01-01,2029-12-31,10000100000000,ACE Inhibitors,Angiotensin-Converting Enzyme Inhibitors,AB,314076.0
1002,PROD1002,Amlodipine 5mg,amlodipine,Calcium Channel Blocker,Hypertension,Tablet,69153041,2230001000,Avoid grapefruit; CYP3A4 interactions,18.75,N,N,N,Y,2020-01-01,2029-12-31,24000100000000,Calcium Channel Blockers,Dihydropyridine Calcium Channel Blockers,AB,197361.0
1003,PROD1003,Metoprolol 25mg,metoprolol succinate,Beta Blocker,Hypertension,Tablet,378526001,2210201000,Risk of bradycardia with other antihypertensives,14.0,N,N,N,Y,2020-01-01,2029-12-31,21000100000000,Beta Blockers,Beta-1 Selective (Cardioselective) Blockers,AB,866427.0
1004,PROD1004,Atorvastatin 20mg,atorvastatin,Statin,Hyperlipidemia,Tablet,71015820,3940001000,Myopathy risk with fibrates or niacin,22.0,N,N,N,Y,2020-01-01,2029-12-31,33000100000000,Statins,HMG-CoA Reductase Inhibitors,AB,259255.0
1005,PROD1005,Rosuvastatin 10mg,rosuvastatin,Statin,Hyperlipidemia,Tablet,310075030,3940001100,Increased INR with warfarin,28.5,N,N,N,Y,2020-01-01,2029-12-31,33000200000000,Statins,HMG-CoA Reductase Inhibitors,AB,859749.0
1006,PROD1006,Metformin 500mg,metformin,Biguanide,Type 2 Diabetes,Tablet,93107601,2710001000,Lactic acidosis risk with contrast media,9.0,N,N,N,Y,2020-01-01,2029-12-31,17000100000000,Antidiabetics,Biguanides,AB,861007.0
1007,PROD1007,Glipizide 5mg,glipizide,Sulfonylurea,Type 2 Diabetes,Tablet,49262066,2710201000,Hypoglycemia risk with beta-blockers,11.0,N,N,N,Y,2020-01-01,2029-12-31,17000200000000,Antidiabetics,Second-Generation Sulfonylureas,AB,310490.0
1008,PROD1008,Sitagliptin 100mg,sitagliptin,DPP-4 Inhibitor,Type 2 Diabetes,Tablet,6043254,2710401000,May increase digoxin levels slightly,145.0,Y,N,N,Y,2020-01-01,2029-12-31,17000300000000,Antidiabetics,Dipeptidyl Peptidase-4 Inhibitors,BX,665058.0
1009,PROD1009,Empagliflozin 10mg,empagliflozin,SGLT2 Inhibitor,Type 2 Diabetes,Tablet,597003010,2710501000,Increased risk of UTI; volume depletion with diuretics,380.0,Y,N,N,Y,2020-01-01,2029-12-31,17000400000000,Antidiabetics,Sodium-Glucose Cotransporter-2 Inhibitors,BX,1545653.0
1010,PROD1010,Levothyroxine 50mcg,levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,378181177,440001000,Decreased absorption with calcium/antacids,8.5,N,N,N,Y,2020-01-01,2029-12-31,34000100000000,Thyroid Agents,Synthetic Levothyroxine Analogs,AB,
