reason_code,reason_chip
DIAGNOSIS_MISMATCH,Alternative not appropriate for documented diagnosis
OFF_LABEL_JUSTIFIED,Off-label use clinically justified for diagnosis
INDICATION_NOT_SUPPORTED,Requested drug lacks indication for condition
DIAGNOSTIC_UNCERTAINTY,"Diagnosis not yet confirmed, therapy change premature"
ALTERNATE_DIAGNOSIS_PENDING,"Alternate diagnosis under workup, defer switch"
SEVERE_DISEASE_STAGE,Disease severity requires current regimen
DISEASE_PROGRESSION,Disease progression warrants therapy escalation
EARLY_STAGE_DISEASE,Early-stage disease does not require escalation
REFRACTORY_DISEASE,Refractory disease requires advanced therapy
RAPID_DETERIORATION,Rapid clinical deterioration precludes switch
FLARE_MANAGEMENT,Active disease flare requires current agent
REMISSION_MAINTENANCE,Remission maintained on current regimen
TREAT_TO_TARGET_NOT_MET,Treat-to-target goals not yet achieved
SUPERIOR_EFFICACY,Current agent shows superior clinical efficacy
SUBOPTIMAL_RESPONSE,Suboptimal response to alternative therapy
PARTIAL_RESPONSE,"Partial response supports dose optimization, not switch"
LOSS_OF_EFFICACY,Secondary loss of efficacy noted on alternative
DEMONSTRATED_RESPONSE,Demonstrated clinical response on current therapy
BIOMARKER_RESPONSE,Biomarker trend supports continuing current therapy
SAFETY_SIGNAL,New safety signal identified with alternative
BLACK_BOX_WARNING,Alternative carries relevant black-box warning
NARROW_THERAPEUTIC_INDEX,Current drug has narrow therapeutic index requiring stability
QT_PROLONGATION_RISK,Alternative poses QT prolongation risk
SEROTONIN_SYNDROME_RISK,Risk of serotonin syndrome with combination
RESPIRATORY_DEPRESSION_RISK,Risk of respiratory depression with alternative
HYPOTENSION_RISK,Alternative increases risk of symptomatic hypotension
ARRHYTHMIA_RISK,Alternative associated with arrhythmia risk
PRIOR_FAILURE,Previous therapy trial was unsuccessful
PRIOR_ADVERSE_REACTION,Prior adverse reaction to alternative agent
PRIOR_INTOLERANCE_GI,Prior GI intolerance to alternative class
PRIOR_DISCONTINUATION,Alternative previously discontinued for lack of effect
MULTIPLE_PRIOR_TRIALS,Multiple prior therapy trials already exhausted
REINTRODUCTION_RISK,Reintroduction of prior agent poses reaction risk
SPECIALIST_PLAN,Specialist treatment plan supports continuation
TUMOR_BOARD_DECISION,Tumor board recommendation supports current regimen
MULTIDISCIPLINARY_CONSENSUS,Multidisciplinary team consensus on current therapy
TRANSPLANT_TEAM_DIRECTIVE,Transplant team protocol dictates current agent
PSYCHIATRY_CONSULT_HOLD,Psychiatry consult recommends holding medication change
RHEUM_SPECIALIST_OVERRIDE,Rheumatology specialist overrides suggested switch
COMORBIDITY_RISK,Alternative may worsen existing comorbidity
MULTIMORBIDITY_COMPLEXITY,Multiple comorbidities complicate proposed switch
DIABETES_DESTABILIZATION,Alternative risks destabilizing glycemic control
HEART_FAILURE_WORSENING,Alternative may worsen heart failure status
ASTHMA_COPD_EXACERBATION_RISK,Alternative risks exacerbating asthma or COPD
SEIZURE_THRESHOLD_LOWERING,Alternative may lower seizure threshold
MOOD_DESTABILIZATION_RISK,Alternative risks destabilizing mood disorder
RENAL_IMPAIRMENT_DOSE,Renal impairment limits alternative dosing
HEPATIC_IMPAIRMENT_DOSE,Hepatic impairment limits alternative dosing
CKD_STAGE_LIMIT,CKD stage precludes safe use of alternative
DIALYSIS_CLEARANCE_ISSUE,Alternative not appropriate for dialysis clearance
CIRRHOSIS_METABOLISM_RISK,Cirrhosis alters metabolism of alternative agent
EGFR_BELOW_THRESHOLD,eGFR below threshold for alternative use
LAB_VALUE_CONTRAINDICATION,Recent lab values contraindicate alternative
LIVER_ENZYME_ELEVATION,Elevated liver enzymes preclude alternative
CYTOPENIA_RISK,Alternative risks cytopenia given current counts
ELECTROLYTE_IMBALANCE_RISK,Alternative risks worsening electrolyte imbalance
THERAPEUTIC_DRUG_LEVEL_STABLE,Stable therapeutic drug level supports continuation
INR_OUT_OF_RANGE,INR instability precludes anticoagulant switch
A1C_AT_GOAL,A1C at goal on current regimen
GUIDELINE_CONCORDANT,Current therapy is guideline-concordant
